Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
TOYOTA MOTOR CORP/;0001094517;9/30/2025;954786;42,453,831;;732908108
ONTARIO TEACHERS PENSION PLAN BOARD;0000937567;9/30/2025;486723;21,641,766;;732908108
FMR LLC;0000315066;9/30/2025;370368;16,468,163;;732908108
IDG China Venture Capital Fund IV Associates L.P.;0001609021;9/30/2025;208889;9,288,115;;732908108
BAILLIE GIFFORD & CO;0001088875;9/30/2025;145293;6,460,363;;732908108
Point72 Hong Kong Ltd;0001599822;9/30/2025;124208;5,522,833;;732908108
IDG China Capital Fund III Associates L.P.;0001649614;9/30/2025;102795;4,570,712;;732908108
Aspex Management (HK) Ltd;0001768375;9/30/2025;93119;4,140,447;;732908108
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.;0001705339;9/30/2025;89173;3,964,830;;732908108
MORGAN STANLEY;0000895421;9/30/2025;74448;3,310,302;;732908108
TMT General Partner Ltd;0001847582;9/30/2025;70927;3,153,748;;732908108
Tidal Investments LLC;0001600064;9/30/2025;67470;3,000,000;;732908108
Tidal Investments LLC;0001600064;9/30/2025;67470;3,000,000;put;732908108
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;66673;2,964,600;call;732908108
Lingotto Investment Management LLP;0001732768;9/30/2025;53523;2,379,892;;732908108
Lingotto Investment Management LLP;0001732768;9/30/2025;53523;2,379,892;;732908108
Carlyle Group Inc.;0001527166;9/30/2025;53131;2,362,447;;732908108
Ghisallo Capital Management LLC;0001825214;9/30/2025;53076;2,360,000;;732908108
BAMCO INC /NY/;0001017918;9/30/2025;52521;2,335,346;;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;51414;2,286,095;;732908108
Point72 Asset Management, L.P.;0001603466;9/30/2025;50148;2,229,815;;732908108
WELLINGTON MANAGEMENT GROUP LLP;0000902219;9/30/2025;48786;2,169,257;;732908108
SOROS FUND MANAGEMENT LLC;0001029160;9/30/2025;46756;2,078,999;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;46390;2,062,702;;732908108
ARK Investment Management LLC;0001697748;9/30/2025;28622;1,272,690;;732908108
UBS Group AG;0001610520;9/30/2025;27033;1,202,015;;732908108
MANUFACTURERS LIFE INSURANCE COMPANY, THE;0000928047;9/30/2025;26610;1,183,234;;732908108
Mubadala Investment Co PJSC;0001704268;9/30/2025;25307;1,125,287;;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;25213;1,121,100;call;732908108
HSG Holding Ltd;0001470766;9/30/2025;20719;1,076,905;;732908108
Neumann Advisory Hong Kong Ltd;0001727862;9/30/2025;23207;1,031,880;;732908108
MASTERS CAPITAL MANAGEMENT LLC;0001104186;9/30/2025;22490;1,000,000;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;21862;972,100;put;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;21779;968,400;put;732908108
Mirae Asset Global Investments Co., Ltd.;0001569395;9/30/2025;18818;836,728;;732908108
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;17747;789,123;;732908108
MARSHALL WACE, LLP;0001318757;9/30/2025;16574;736,993;;732908108
STATE STREET CORP;0000093751;9/30/2025;15589;693,180;;732908108
PEAK6 LLC;0001389958;9/30/2025;15254;678,300;call;732908108
Flight Deck Capital, LP;0001861705;9/30/2025;15126;672,600;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;14591;648,800;call;732908108
HRT FINANCIAL LP;0001475597;9/30/2025;12503;555,966;;732908108
Amova Asset Management Americas, Inc.;0001480751;9/30/2025;12119;539,141;;732908108
Sumitomo Mitsui Trust Group, Inc.;0001475365;9/30/2025;12125;539,141;;732908108
Hel Ved Capital Management Ltd;0001840129;9/30/2025;11874;527,979;;732908108
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;10509;467,300;put;732908108
Y-Intercept (Hong Kong) Ltd;0001772875;9/30/2025;9508;422,806;;732908108
CI INVESTMENTS INC.;0001163648;9/30/2025;9073;403,426;;732908108
FIL Ltd;0000318989;9/30/2025;9060;402,884;;732908108
CAPITAL FUND MANAGEMENT S.A.;0001323645;9/30/2025;8682;386,059;;732908108
TIGER GLOBAL MANAGEMENT LLC;0001167483;9/30/2025;8321;370,000;;732908108
Clear Street Group Inc.;0001881567;9/30/2025;7183;319,398;;732908108
Carrhae Capital LLP;0001555254;9/30/2025;6686;297,295;;732908108
BARCLAYS PLC;0000312069;9/30/2025;6268;278,714;;732908108
OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC);0001132716;9/30/2025;6016;267,508;;732908108
Balyasny Asset Management L.P.;0001218710;9/30/2025;5784;257,225;;732908108
Walleye Capital LLC;0001758720;9/30/2025;5683;252,700;put;732908108
BARCLAYS PLC;0000312069;9/30/2025;5622;250,000;put;732908108
Balyasny Asset Management L.P.;0001218710;9/30/2025;5622;250,000;put;732908108
AFFINITY WEALTH MANAGEMENT LLC;0000810672;9/30/2025;5613;249,611;;732908108
ARMISTICE CAPITAL, LLC;0001601086;9/30/2025;5606;249,300;;732908108
Baader Bank Aktiengesellschaft;0001542629;9/30/2025;5087;228,193;;732908108
Hudson Bay Capital Management LP;0001393825;9/30/2025;4981;221,520;;732908108
KEYSTONE INVESTORS PTE LTD;0001926253;9/30/2025;4979;221,408;;732908108
CAPITAL FUND MANAGEMENT S.A.;0001323645;9/30/2025;4637;206,200;call;732908108
Yiheng Capital Management, L.P.;0001447228;9/30/2025;4504;200,300;;732908108
Walleye Capital LLC;0001758720;9/30/2025;4151;184,600;call;732908108
WOLVERINE TRADING, LLC;0000927337;9/30/2025;4160;183,100;call;732908108
Cubist Systematic Strategies, LLC;0001603465;9/30/2025;3778;167,997;;732908108
CAPITAL FUND MANAGEMENT S.A.;0001323645;9/30/2025;3580;159,200;put;732908108
ALLIANCEBERNSTEIN L.P.;0001109448;9/30/2025;3505;155,877;;732908108
Quadrature Capital Ltd;0001651424;9/30/2025;3456;153,750;;732908108
Walleye Trading LLC;0001388391;9/30/2025;3281;145,900;put;732908108
WOLVERINE TRADING, LLC;0000927337;9/30/2025;3271;144,000;put;732908108
SCHRODER INVESTMENT MANAGEMENT GROUP;0001086619;9/30/2025;3122;138,835;;732908108
Legal & General Group Plc;0000764068;9/30/2025;3109;138,282;;732908108
Walleye Trading LLC;0001388391;9/30/2025;2626;116,800;call;732908108
Mitsubishi UFJ Asset Management Co., Ltd.;0001466546;9/30/2025;2574;114,482;;732908108
CITIGROUP INC;0000831001;9/30/2025;2510;111,616;;732908108
Cresset Asset Management, LLC;0001761013;9/30/2025;2262;100,617;;732908108
Evergreen Quality Fund GP, Ltd.;0002016939;9/30/2025;2249;100,000;;732908108
WEXFORD CAPITAL LP;0001048462;9/30/2025;2159;95,998;;732908108
BlueCrest Capital Management Ltd;0001610880;9/30/2025;2145;95,400;call;732908108
MONEY CONCEPTS CAPITAL CORP;0000716851;9/30/2025;2061;91,665;;732908108
Squarepoint Ops LLC;0001642575;9/30/2025;1995;88,746;;732908108
GROUP ONE TRADING LLC;0000932540;9/30/2025;1829;81,365;;732908108
WOLVERINE TRADING, LLC;0000927337;9/30/2025;1757;77,343;;732908108
WELLS FARGO & COMPANY/MN;0000072971;9/30/2025;1637;72,801;;732908108
D. E. Shaw & Co., Inc.;0001009207;9/30/2025;1601;71,200;call;732908108
Eleva Capital SAS;0002054496;9/30/2025;1539;68,462;;732908108
Covalis Capital LLP;0001698819;9/30/2025;1450;64,492;;732908108
VOLORIDGE INVESTMENT MANAGEMENT, LLC;0001556921;9/30/2025;1347;59,896;;732908108
Lansforsakringar Fondforvaltning AB (publ);0002059323;9/30/2025;1272;56,587;;732908108
Man Group plc;0001637460;9/30/2025;1242;55,237;;732908108
Banco BTG Pactual S.A.;0001536080;9/30/2025;1124;50,000;;732908108
BANK OF AMERICA CORP /DE/;0000070858;9/30/2025;1021;45,399;;732908108
Eschler Asset Management LLP;0001910874;9/30/2025;1016;45,200;;732908108
Schonfeld Strategic Advisors LLC;0001665241;9/30/2025;960;42,690;;732908108
BlackRock, Inc.;0002012383;9/30/2025;950;42,256;;732908108
D. E. Shaw & Co., Inc.;0001009207;9/30/2025;948;42,166;;732908108
PRICE T ROWE ASSOCIATES INC /MD/;0000080255;9/30/2025;825;36,661;;732908108
Renaissance Capital LLC;0001535058;9/30/2025;757;33,690;;732908108
PNC Financial Services Group, Inc.;0000713676;9/30/2025;674;30,000;;732908108
CIBC WORLD MARKET INC.;0001421224;9/30/2025;672;29,882;;732908108
Scientech Research LLC;0002011556;9/30/2025;664;29,555;;732908108
Virtu Financial LLC;0001533964;9/30/2025;594;26,422;;732908108
Weiss Asset Management LP;0001357550;9/30/2025;587;26,142;;732908108
Lighthouse Investment Partners, LLC;0001600344;9/30/2025;555;24,717;;732908108
SYMMETRY PEAK MANAGEMENT LLC;0001389234;9/30/2025;551;24,500;call;732908108
Allianz Asset Management GmbH;0001535323;9/30/2025;543;24,153;;732908108
UBS Group AG;0001610520;9/30/2025;528;23,500;call;732908108
Focus Partners Wealth;0001542153;9/30/2025;526;23,406;;732908108
XTX Topco Ltd;0001828301;9/30/2025;517;23,028;;732908108
Pekin Hardy Strauss, Inc.;0001020317;9/30/2025;449;20,000;;732908108
SBI Securities Co., Ltd.;0001851815;9/30/2025;446;19,875;;732908108
TWO SIGMA INVESTMENTS, LP;0001179392;9/30/2025;443;19,700;;732908108
CANTOR FITZGERALD, L. P.;0001024896;9/30/2025;371;16,520;;732908108
LPL Financial LLC;0001403438;9/30/2025;367;16,321;;732908108
HAP Trading, LLC;0001049854;9/30/2025;25;15,500;call;732908108
Invesco Ltd.;0000914208;9/30/2025;347;15,458;;732908108
Temasek Holdings (Private) Ltd;0001021944;9/30/2025;326;14,510;;732908108
Calamos Advisors LLC;0001316507;9/30/2025;323;14,400;;732908108
Centiva Capital, LP;0001692507;9/30/2025;287;12,776;;732908108
NOMURA HOLDINGS INC;0001163653;9/30/2025;285;12,704;;732908108
IEQ CAPITAL, LLC;0001779789;9/30/2025;276;12,300;;732908108
Cetera Investment Advisers;0001666741;9/30/2025;265;11,816;;732908108
GEODE CAPITAL MANAGEMENT, LLC;0001214717;9/30/2025;254;11,318;;732908108
AMERIPRISE FINANCIAL INC;0000820027;9/30/2025;247;10,988;;732908108
FIRST TRUST ADVISORS LP;0001125816;9/30/2025;247;10,988;;732908108
PROFUND ADVISORS LLC;0001129919;9/30/2025;237;10,567;;732908108
D. E. Shaw & Co., Inc.;0001009207;9/30/2025;231;10,300;put;732908108
Delta Investment Management, LLC;0001757043;9/30/2025;227;10,100;;732908108
J. Safra Sarasin Holding AG;0001890222;9/30/2025;224;10,000;;732908108
ROYAL BANK OF CANADA;0001000275;9/30/2025;178;7,914;;732908108
Provenance Wealth Advisors, LLC;0002081584;9/30/2025;164;7,313;;732908108
Federation des caisses Desjardins du Quebec;0002022297;9/30/2025;159;7,106;;732908108
Tower Research Capital LLC (TRC);0001533421;9/30/2025;157;7,004;;732908108
Advisory Services Network, LLC;0001573876;9/30/2025;154;6,872;;732908108
SG Americas Securities, LLC;0001313360;9/30/2025;116;5,159;;732908108
OSAIC HOLDINGS, INC.;0001677044;9/30/2025;72;4,722;;732908108
Daiwa Securities Group Inc.;0001481045;9/30/2025;100;4,460;;732908108
HERSHEY TRUST CO;0000908551;9/30/2025;94;4,188;;732908108
Banque Cantonale Vaudoise;0001793755;9/30/2025;82;3,662;;732908108
FNY Investment Advisers, LLC;0001742998;9/30/2025;50;2,256;;732908108
JONES FINANCIAL COMPANIES LLLP;0000815917;9/30/2025;46;2,197;;732908108
JPMORGAN CHASE & CO;0000019617;9/30/2025;47;2,110;;732908108
JPMORGAN CHASE & CO;0000019617;9/30/2025;47;2,110;;732908108
HORIZON FINANCIAL SERVICES, LLC;0001674020;9/30/2025;22;1,000;;732908108
DEUTSCHE BANK AG;0000948046;9/30/2025;22;987;;732908108
IFP Advisors, Inc;0001641866;9/30/2025;15;684;;732908108
NATIONAL BANK OF CANADA /FI/;0000926171;9/30/2025;13;591;;732908108
CIBC Private Wealth Group LLC;0001298088;9/30/2025;12;544;;732908108
Zurcher Kantonalbank (Zurich Cantonalbank);0001368163;9/30/2025;10;449;;732908108
PRINCIPAL SECURITIES, INC.;0000012600;9/30/2025;9;401;;732908108
SIGNATUREFD, LLC;0001456048;9/30/2025;4;200;;732908108
HARBOUR INVESTMENTS, INC.;0000810121;9/30/2025;2;129;;732908108
Strategic Wealth Partners, Ltd.;0001720777;9/30/2025;2;124;;732908108
Golden State Wealth Management, LLC;0001776033;9/30/2025;2;100;;732908108
Gordian Capital Singapore Pte Ltd;0001869164;9/30/2025;2;100;;732908108
Larson Financial Group LLC;0001731061;9/30/2025;2;100;;732908108
Caitong International Asset Management Co., Ltd;0001963355;9/30/2025;1;84;;732908108
Farther Finance Advisors, LLC;0001992825;9/30/2025;1;75;;732908108
Bell Investment Advisors, Inc;0001890149;9/30/2025;0;38;;732908108
ASSETMARK, INC;0001344551;9/30/2025;0;37;;732908108
EverSource Wealth Advisors, LLC;0001710537;9/30/2025;0;18;;732908108
Erste Asset Management GmbH;0002024532;9/30/2025;280;6;;732908108
Nova Wealth Management, Inc.;0002051980;9/30/2025;0;1;;732908108
