ticker;seqNo;newsDate;code;managerSearchCode;managerPeopleSearchCode;detail
KLAC;0;15-jan-2026;ANALYST_VIEW;WELLS_FARGO;;"Upgraded to Overweight, price target raised to 1600"
KLAC;0;15-jan-2026;ANALYST_VIEW;CANTOR_FITZGERALD;;"Raised target to 1750, maintained Overweight rating"
AMAT,TMC;0;15-jan-2026;ANALYST_VIEW;WELLS_FARGO;;"TEST DATA"
NVDA,MU;0;16-jan-2026;ANALYST_VIEW;WELLS_FARGO;KEYBANC_JohnVinh;"TEST DATA Manager people"
NVDA,TSLA,MSFT,PLTR;0;19-Jan-2026;TRADE_MOVEMENT;THIEL_MACRO;THIELMACRO_PeterThiel;"Sold all Nvidia stock, 76% of Tesla. Then bought microsoft"
NOSTOCK;1;19-Jan-2026;PROJECTION_2026;BARCLAYS_EQUITY;BARCLAYS_VenuKrishna;"Policy and geopolitical noise may rise, but we expect stock-specific factors to lead equities. Low correlations should keep dispersion high, creating active opportunities, though concentration makes it hard to navigate"
NOSTOCK;2;19-Jan-2026;PROJECTION_2026;BARCLAYS_EQUITY;BARCLAYS_VenuKrishna;"AI remains the core driver, supporting double-digit earnings growth this year."
NOSTOCK;3;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"Global semiconductor revenues are projected to surpass $1 trillion in 2026, driven primarily by AI-related demand."
NOSTOCK;4;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"Memory and logic ICs dominate growth; without them, industry revenue growth would drop sharply to single digits."
NOSTOCK;5;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"AI-driven data center and hyperscaler spending is accelerating, with top four hyperscalers investing roughly $500bn annually."
NOSTOCK;6;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"Computing and data storage will be the fastest-growing segment, exceeding $500bn in revenue in 2026."
NOSTOCK;7;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"Consumer electronics growth is supported by AI-enabled smartphones, higher memory prices, and device refresh cycles."
NOSTOCK;8;19-Jan-2026;PROJECTION_2026;OMDIA_TTGT;NO_PEOPLE;"Semiconductor growth is highly concentrated, not broad-based, and vulnerable to macroeconomic and supply-chain risks."