stock;eventDate;code;detail
NUTX;01-Jan-1900;WEIGHT_LOSS_PHARMASTOCK;"weight loss pills"
NVO;01-Jan-1900;WEIGHT_LOSS_PHARMASTOCK;"weight loss pills"
UNH;01-Jan-1900;EARNINGS_PRICE_DROP;"Price dropped on every earnings"
DUOL;01-Jan-1900;52_WEEK_HIGH_PRICE_FALL;"Price crashed from 540 to 176 in 52 weeks"
DUOL;01-Jan-1900;AI_INVESTED;"Duolingo embeds AI to boost personalization, engagement, retention, monetization within gamified learning platform."
LLY;01-Jan-1900;AI_INVESTED;"AI in medical field, the have model for this reason
NEOG;8-Jan-2026;EARNINGS_PRICE_RISE;"2nd Quarter Earning Result, Stock went up by 30%""
LRCX;16-Jan-2026;CUSTOMERS;"TSMC, SAMSUNG, INTEL, MICRON, SK HYNIX"
LRCX;16-Jan-2026;BUSINESS_DETAIL;"Wafer Fabrication Equipment WFE"
LRCX;16-Jan-2026;BUSINESS_RELATED;"LRCX vs KLAC vs ASML vs AMAT"